id,name
935,fridgeBaron Games
936,Luke Palmer
937,Electrovore
938,Hermes Games
939,Smoki Tanuki Games
940,BulbIdeas
941,Toxic Toads games
942,Michael Allen Cooley
943,PinCool
944,1917 Studios
945,Denisiss
946,Viron Games
947,Body Mind Games
948,Jurgen Hoogeboom
949,Freedomize Studio
950,Raven Travel Studios
951,David Thiago
952,柚原堂
953,Summer Tree Fort Games
954,Legend Has It
955,Lone Artisan Games
956,Zatun
957,"EllGames, LLC"
958,bland man studios
959,Anselmo Noriega
960,ISY
961,NGUYỄN MINH HÙNG
962,Xgarius Games
963,lazyturtle
964,Aikasa Collective
965,Raiun Games
966,NINO
967,DVoid
968,Vortex Buffer
969,Nosleepcreepsgames
970,Martin Beckelhymer
971,Zach Jagoda
972,Monster Box Studios
973,Garawell Games
974,Team Carambola
975,倔强牛牛
976,Mad Labyrinth Studios
977,Cecil Kong
978,Bottled Games Interactive
979,Lucid Egg
980,JAD Labs
981,Spinware
982,Battle Blockyverse Studios
983,BacklotRealities
984,eugeniy_kh
985,Those Awesome Guys
986,조예진
987,David Lawrence
988,Zoxide Games
989,Laminar Research
990,Flow Fire Games
991,"Wise Wizard Games, LLC"
992,Gill Games LLC
993,Melvin Gijsberts
994,Mason Interactive
995,SnoozyMonday
996,DodoRabbit
997, Sometimes Farming
998,Otherworldly Games
999,girl software
1000,Mad Gnome Works
1001,HyperShrimp
1002,Nicholas McDonnell
1003,ozumikan
1004,Gaming Manta
1005,simplitec GmbH
1006,Karnac Studio
1007,Positive Concept Games
1008,DELAPAIX
1009,Gaggin Games
1010,RetroStyle Games
1011,King of Crowns Online Group
1012,Lunranta
1013,Nick90903
1014,Giant Margarita
1015,Studio Plane Toast
1016,Gumball Interactive
1017,KetaGames
1018,Filip Oleyka
1019,Danny Garay
1020,Agelvik
1021,Mad Games Company
1022,DTG Games
1023,LeeJaehwan
1024,Team2Bit
1025,Fair Games ApS
1026,CrystalMesh UG
1027,株式会社Metaware
1028,Jeff van Dyck
1029,Fruit Postal Service
1030,Dennis Esie
1031,Serhii Vitukhin
1032,Jared Pettitt
1033,Source Byte
1034,Discrete Infinity
1035,Digitallion
1036,Charles Barnes
1037,Dunamis
1038,Bernardo Barreiros Fialho
1039,Gregorio Antonio Curello
1040,Colin Northway with art by Thomas Shahan
1041,TT inc.
1042,UwasanoEroRadioHead
1043,Nichole Wilkinson
1044,ZhangSan
1045,Chriton Studios
1046,LuftWaffel
1047,Metaseven
1048,Frosted Window
1049,Cezar Roveda Coelho
1050,Playground Heroes Team
1051,Raindown
1052,nobones
1053,Spiders
1054,17MOONKEYS
1055,PaperMoon Studio
1056,NebularCat
1057,Innervoid Interactive
1058,Softzen
1059,Never Knows Best
1060,SergioK
1061,TopHouse Studio
1062,Techworld Communication
1063,YS Net
1064,C63 Industries
1065,Evolver Dynamics
1066,Studio baekbros
1067,JsrGames
1068,Halva Studio
1069,Froggy
1070,Culture Attack Studio
1071,Split World Studios
1072,CosmicStarTech LLC
1073,Pugscape
1074,Surreal Studios
1075,Pillar Space
1076,AL Kuo
1077,wildgoose
1078,8 Ball Studios
1079,YamiToast
1080,"Three Man, Two Girl"
1081,ganashaw
1082,冲浪吸猫
1083,Coal Car Studio Ltd.
1084,Prismacore Dream
1085,Disruptive Software
1086,Saga Planets
1087,Greener Productions
1088,Harmonicamele
1089,RoKo0 (Roman Konyukhov)
1090,奶貓
1091,FAZIC Games
1092,FireWo Games
